cik,name,arm,failed,detail
1558569,iSpecimen Inc.  (ISPC)  (CIK 0001558569),IPO,C0,"8.2 years of EDGAR history before the registration statement (earliest filing 2012-09-25, D) - not a new listing"
1562088,"Duolingo, Inc.  (DUOL)  (CIK 0001562088)",IPO,C0,"8.6 years of EDGAR history before the registration statement (earliest filing 2012-11-13, D) - not a new listing"
1563190,"Compass, Inc.  (COMP)  (CIK 0001563190)",IPO,C0,"8.2 years of EDGAR history before the registration statement (earliest filing 2012-12-05, D) - not a new listing"
1571934,"NEUROTROPE BIOSCIENCE, INC.  (SNPX)  (CIK 0001571934)",IPO,C0,"7.6 years of EDGAR history before the registration statement (earliest filing 2013-03-13, D) - not a new listing"
1580063,"PROGENITY, INC.  (BIOR)  (CIK 0001580063)",IPO,C0,"6.9 years of EDGAR history before the registration statement (earliest filing 2013-06-27, D) - not a new listing"
1580560,Flywire Corp  (FLYW)  (CIK 0001580560),IPO,C0,"7.8 years of EDGAR history before the registration statement (earliest filing 2013-07-08, D) - not a new listing"
1591587,"AssetMark Financial Holdings, Inc.  (AMK)  (CIK 0001591587)",IPO,C0,"5.6 years of EDGAR history before the registration statement (earliest filing 2013-11-14, 13F-NT) - not a new listing"
1596961,"RumbleON, Inc.  (RMBL)  (CIK 0001596961)",IPO,C0,"6.4 years of EDGAR history before the registration statement (earliest filing 2014-01-24, S-1) - not a new listing"
1598674,Casper Sleep Inc.  (CIK 0001598674),IPO,C0,"5.9 years of EDGAR history before the registration statement (earliest filing 2014-01-30, D) - not a new listing"
1601669,Watford Holdings Ltd.  (CIK 0001601669),IPO,C3,2 annual reports after listing (need 3)
1604868,GrowGeneration Corp.  (GRWG)  (CIK 0001604868),IPO,C0,"6.2 years of EDGAR history before the registration statement (earliest filing 2014-04-11, D) - not a new listing"
1606698,Alpine 4 Technologies Ltd.  (ALPP)  (CIK 0001606698),IPO,C0,"5.8 years of EDGAR history before the registration statement (earliest filing 2014-05-08, 10-12G) - not a new listing"
1617553,"ZIPRECRUITER, INC.  (ZIP)  (CIK 0001617553)",IPO,C0,"6.7 years of EDGAR history before the registration statement (earliest filing 2014-08-26, D) - not a new listing"
1622667,"AEON Biopharma, Inc.  (CIK 0001622667)",IPO,C0,"6.7 years of EDGAR history before the registration statement (earliest filing 2015-01-22, D) - not a new listing"
1628369,Cushman & Wakefield plc  (CWK)  (CIK 0001628369),IPO,C1b,"3 periodic reports predate the registration statement (earliest 10-Q 2018-09-06) - already public, not a listing"
1634447,"PECK Co HOLDINGS, INC.  (ISUNQ)  (CIK 0001634447)",DESPAC,C0,"5.6 years of EDGAR history before the registration statement (earliest filing 2015-03-13, DRS) - not a new listing"
